"","premisetype","offence","occurrenceyear","occurrencemonth","occurrenceday","occurrencedayofyear","occurrencedayofweek","occurrencehour","Division","Hood_ID","Neighbourhood","Lat","Long","occurrence_ts","ppl_2016","annual_growth_rate","children_2016","youth_2016","working_2016","pre-retirement_2016","seniors_2016","older_2016","ppl_2017","children_2017","youth_2017","working_2017","pre.retirement_2017","seniors_2017","older_2017","ppl_2018","children_2018","youth_2018","working_2018","pre.retirement_2018","seniors_2018","older_2018","ppl_2019","children_2019","youth_2019","working_2019","pre.retirement_2019","seniors_2019","older_2019"
"1","Apartment","Theft Of Motor Vehicle",2016,1,1,1,"Friday",0,"D11",86,"Roncesvalles (86)",43.6399727,-79.4441757,2016-01-01 00:00:00,14974,-0.005,2300,1305,7990,1690,1680,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Apartment","Theft Of Motor Vehicle",2016,1,3,3,"Sunday",18,"D43",138,"Eglinton East (138)",43.7416115,-79.2326126,2016-01-03 18:30:00,22776,-0.002,4180,3130,9180,2825,3505,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Apartment","Theft Of Motor Vehicle",2016,1,17,17,"Sunday",13,"D23",2,"Mount Olive-Silverstone-Jamestown (2)",43.7536201,-79.5870972,2016-01-17 13:00:00,32954,0.005,7090,5240,13615,3475,3560,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Apartment","Theft Of Motor Vehicle",2016,1,22,22,"Friday",18,"D53",103,"Lawrence Park South (103)",43.7145691,-79.4000397,2016-01-22 18:00:00,15179,0.007,2845,2095,5870,2115,2235,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Apartment","Theft Of Motor Vehicle",2016,1,30,30,"Saturday",16,"D22",11,"Eringate-Centennial-West Deane (11)",43.6446991,-79.5885086,2016-01-30 16:00:00,18588,-0.012,2635,2405,6910,2855,3765,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Apartment","Theft Of Motor Vehicle",2016,1,30,30,"Saturday",21,"D43",136,"West Hill (136)",43.7666092,-79.1856613,2016-01-30 21:30:00,27392,0.032,4635,3950,10765,3785,4240,625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Apartment","Theft Of Motor Vehicle",2016,1,31,31,"Sunday",21,"D41",121,"Oakridge (121)",43.7032204,-79.2795181,2016-01-31 21:30:00,13845,0.026,2865,1680,6050,1595,1655,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Apartment","Theft Of Motor Vehicle",2016,2,1,32,"Monday",5,"D42",117,"L'Amoreaux (117)",43.7989998,-79.3059845,2016-02-01 05:04:00,43993,-0.021,6120,5730,17210,5930,8990,1345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Apartment","Theft Of Motor Vehicle",2016,2,3,34,"Wednesday",10,"D33",43,"Victoria Village (43)",43.7325554,-79.3058929,2016-02-03 10:00:00,17510,0.019,2630,2030,7170,2270,3405,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Apartment","Theft Of Motor Vehicle",2016,2,15,46,"Monday",21,"D55",69,"Blake-Jones (69)",43.676651,-79.340004,2016-02-15 21:05:00,7727,-0.005,1405,885,3605,940,895,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
