"premisetype","offence","occurrenceyear","occurrencemonth","occurrenceday","occurrencedayofyear","occurrencedayofweek","occurrencehour","Division","Hood_ID","Neighbourhood","Lat","Long","occurrence_ts","weather","hmdx","hmdx_flag","pressure","pressure_flag","rel_hum","rel_hum_flag","temp","temp_dew","temp_dew_flag","temp_flag","visib","visib_flag","wind_chill","wind_chill_flag","wind_dir","wind_dir_flag","wind_spd","wind_spd_flag","annual_growth_rate","current_ppl","current_children_ppl","current_youth_ppl","current_working_ppl","current_pre_retirement_ppl","current_seniors_ppl","current_older_ppl"
"Apartment","Theft Of Motor Vehicle",2016,1,1,1,"Friday",0,"D11",86,"Roncesvalles (86)",43.6399727,-79.4441757,2016-01-01 00:00:00,NA,NA,NA,100.38,NA,69,NA,0.8,-4.3,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.005,14974,2300,1305,7990,1690,1680,185
"House","Theft Of Motor Vehicle",2016,1,1,1,"Friday",10,"D31",25,"Glenfield-Jane Heights (25)",43.7513924,-79.5229263,2016-01-01 10:15:00,NA,NA,NA,100.13,NA,74,NA,-1.1,-5.1,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.029,30491,5790,4520,11590,3605,5005,700
"House","Theft Of Motor Vehicle",2016,1,1,1,"Friday",14,"D42",130,"Milliken (130)",43.8218727,-79.2854538,2016-01-01 14:00:00,NA,NA,NA,100.02,NA,81,NA,-1.4,-4.2,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.022,26572,3675,3195,10565,4030,5115,880
"House","Theft Of Motor Vehicle",2016,1,1,1,"Friday",15,"D51",73,"Moss Park (73)",43.6561661,-79.3701248,2016-01-01 15:00:00,NA,NA,NA,100.03,NA,77,NA,-1.2,-4.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.258,20506,1540,2060,12530,2495,1900,140
"Outside","Theft Of Motor Vehicle",2016,1,1,1,"Friday",16,"D33",52,"Bayview Village (52)",43.7779846,-79.3656006,2016-01-01 16:30:00,NA,NA,NA,100.1,NA,67,NA,-1.4,-6.8,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.211,21396,2415,2505,10310,2540,3615,610
"House","Theft Of Motor Vehicle",2016,1,2,2,"Saturday",1,"D42",130,"Milliken (130)",43.8187981,-79.2824097,2016-01-02 01:30:00,NA,NA,NA,100.33,NA,69,NA,-2.8,-7.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.022,26572,3675,3195,10565,4030,5115,880
"House","Theft Of Motor Vehicle",2016,1,2,2,"Saturday",3,"D13",106,"Humewood-Cedarvale (106)",43.6855164,-79.4305878,2016-01-02 03:00:00,NA,NA,NA,100.31,NA,66,NA,-2.3,-7.7,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.018,14365,2165,1610,7005,1650,1940,280
"Outside","Theft Of Motor Vehicle",2016,1,2,2,"Saturday",5,"D31",27,"York University Heights (27)",43.7691917,-79.4974976,2016-01-02 05:16:00,NA,NA,NA,100.14,NA,77,NA,-1.5,-4.9,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",-0.004,27593,4045,4750,12290,2965,3530,400
"Outside","Theft Of Motor Vehicle",2016,1,2,2,"Saturday",15,"D43",127,"Bendale (127)",43.7736168,-79.2611313,2016-01-02 15:00:00,NA,NA,NA,99.79,NA,69,NA,0.4,-4.6,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.075,29960,4550,4605,12050,3535,5250,900
"Outside","Theft Of Motor Vehicle",2016,1,2,2,"Saturday",16,"D23",2,"Mount Olive-Silverstone-Jamestown (2)",43.7509766,-79.5858307,2016-01-02 16:00:00,NA,NA,NA,99.76,NA,69,NA,0.3,-4.6,NA,NA,NA,NA,NA,NA,NA,"M",NA,"M",0.005,32954,7090,5240,13615,3475,3560,300
