"IDNgrid","IDgrid","n"
"1","(43.745,43.752].[-79.64,-79.63]",27
"10","(43.699,43.706].(-79.61,-79.6]",5
"100","(43.726,43.732].(-79.56,-79.55]",28
"101","(43.732,43.739].(-79.56,-79.55]",26
"102","(43.739,43.745].(-79.56,-79.55]",14
"103","(43.745,43.752].(-79.56,-79.55]",94
"104","(43.752,43.759].(-79.56,-79.55]",37
"105","(43.759,43.765].(-79.56,-79.55]",51
"106","(43.765,43.772].(-79.56,-79.55]",25
"107","[43.587,43.594].(-79.55,-79.54]",26
"108","(43.594,43.601].(-79.55,-79.54]",9
"109","(43.601,43.607].(-79.55,-79.54]",10
"11","(43.706,43.712].(-79.61,-79.6]",140
"110","(43.607,43.614].(-79.55,-79.54]",18
"111","(43.614,43.62].(-79.55,-79.54]",22
"112","(43.62,43.627].(-79.55,-79.54]",42
"113","(43.627,43.633].(-79.55,-79.54]",38
"114","(43.633,43.64].(-79.55,-79.54]",36
"115","(43.64,43.647].(-79.55,-79.54]",30
"116","(43.647,43.653].(-79.55,-79.54]",14
"117","(43.653,43.66].(-79.55,-79.54]",12
"118","(43.66,43.666].(-79.55,-79.54]",19
"119","(43.666,43.673].(-79.55,-79.54]",16
"12","(43.719,43.726].(-79.61,-79.6]",48
"120","(43.673,43.68].(-79.55,-79.54]",13
"121","(43.68,43.686].(-79.55,-79.54]",41
"122","(43.686,43.693].(-79.55,-79.54]",34
"123","(43.693,43.699].(-79.55,-79.54]",67
"124","(43.699,43.706].(-79.55,-79.54]",17
"125","(43.706,43.712].(-79.55,-79.54]",4
"126","(43.712,43.719].(-79.55,-79.54]",24
"127","(43.719,43.726].(-79.55,-79.54]",29
"128","(43.726,43.732].(-79.55,-79.54]",3
"129","(43.732,43.739].(-79.55,-79.54]",46
"13","(43.726,43.732].(-79.61,-79.6]",39
"130","(43.739,43.745].(-79.55,-79.54]",46
"131","(43.745,43.752].(-79.55,-79.54]",81
"132","(43.752,43.759].(-79.55,-79.54]",33
"133","(43.759,43.765].(-79.55,-79.54]",12
"134","(43.765,43.772].(-79.55,-79.54]",35
"135","[43.587,43.594].(-79.54,-79.52]",21
"136","(43.594,43.601].(-79.54,-79.52]",22
"137","(43.601,43.607].(-79.54,-79.52]",24
"138","(43.607,43.614].(-79.54,-79.52]",3
"139","(43.614,43.62].(-79.54,-79.52]",46
"14","(43.732,43.739].(-79.61,-79.6]",75
"140","(43.62,43.627].(-79.54,-79.52]",32
"141","(43.627,43.633].(-79.54,-79.52]",7
"142","(43.633,43.64].(-79.54,-79.52]",58
"143","(43.64,43.647].(-79.54,-79.52]",43
"144","(43.647,43.653].(-79.54,-79.52]",27
"145","(43.653,43.66].(-79.54,-79.52]",11
"146","(43.66,43.666].(-79.54,-79.52]",25
"147","(43.666,43.673].(-79.54,-79.52]",6
"148","(43.673,43.68].(-79.54,-79.52]",16
"149","(43.68,43.686].(-79.54,-79.52]",39
"15","(43.739,43.745].(-79.61,-79.6]",59
"150","(43.686,43.693].(-79.54,-79.52]",19
"151","(43.693,43.699].(-79.54,-79.52]",23
"152","(43.699,43.706].(-79.54,-79.52]",56
"153","(43.706,43.712].(-79.54,-79.52]",68
"154","(43.712,43.719].(-79.54,-79.52]",62
"155","(43.719,43.726].(-79.54,-79.52]",36
"156","(43.726,43.732].(-79.54,-79.52]",54
"157","(43.732,43.739].(-79.54,-79.52]",35
"158","(43.739,43.745].(-79.54,-79.52]",23
"159","(43.745,43.752].(-79.54,-79.52]",27
"16","(43.745,43.752].(-79.61,-79.6]",54
"160","(43.752,43.759].(-79.54,-79.52]",27
"161","(43.759,43.765].(-79.54,-79.52]",18
"162","(43.765,43.772].(-79.54,-79.52]",22
"163","(43.772,43.778].(-79.54,-79.52]",50
"164","(43.594,43.601].(-79.52,-79.51]",15
"165","(43.601,43.607].(-79.52,-79.51]",13
"166","(43.607,43.614].(-79.52,-79.51]",6
"167","(43.614,43.62].(-79.52,-79.51]",65
"168","(43.62,43.627].(-79.52,-79.51]",39
"169","(43.627,43.633].(-79.52,-79.51]",10
"17","(43.752,43.759].(-79.61,-79.6]",43
"170","(43.633,43.64].(-79.52,-79.51]",10
"171","(43.64,43.647].(-79.52,-79.51]",18
"172","(43.647,43.653].(-79.52,-79.51]",13
"173","(43.653,43.66].(-79.52,-79.51]",30
"174","(43.66,43.666].(-79.52,-79.51]",10
"175","(43.666,43.673].(-79.52,-79.51]",13
"176","(43.673,43.68].(-79.52,-79.51]",7
"177","(43.68,43.686].(-79.52,-79.51]",55
"178","(43.686,43.693].(-79.52,-79.51]",18
"179","(43.693,43.699].(-79.52,-79.51]",64
"18","(43.64,43.647].(-79.6,-79.59]",5
"180","(43.699,43.706].(-79.52,-79.51]",62
"181","(43.706,43.712].(-79.52,-79.51]",45
"182","(43.712,43.719].(-79.52,-79.51]",7
"183","(43.719,43.726].(-79.52,-79.51]",114
"184","(43.726,43.732].(-79.52,-79.51]",66
"185","(43.732,43.739].(-79.52,-79.51]",7
"186","(43.739,43.745].(-79.52,-79.51]",77
"187","(43.745,43.752].(-79.52,-79.51]",56
"188","(43.752,43.759].(-79.52,-79.51]",82
"189","(43.759,43.765].(-79.52,-79.51]",77
"19","(43.653,43.66].(-79.6,-79.59]",2
"190","(43.765,43.772].(-79.52,-79.51]",56
"191","(43.772,43.778].(-79.52,-79.51]",30
