"IDNgrid","Division","n"
"1","D23",27
"10","D23",5
"100","D23",28
"101","D23",26
"102","D23",12
"102","D31",2
"103","D31",94
"104","D31",37
"105","D31",51
"106","D31",25
"107","D22",26
"108","D22",9
"109","D22",10
"11","D23",140
"110","D22",18
"111","D22",22
"112","D22",42
"113","D22",38
"114","D22",36
"115","D22",30
"116","D22",14
"117","D22",12
"118","D22",19
"119","D22",16
"12","D23",48
"120","D22",13
"121","D23",41
"122","D23",34
"123","D23",67
"124","D23",17
"125","D23",4
"126","D23",3
"126","D31",21
"127","D23",20
"127","D31",9
"128","D31",3
"129","D31",46
"13","D23",39
"130","D31",46
"131","D31",81
"132","D31",33
"133","D31",12
"134","D31",35
"135","D22",21
"136","D22",22
"137","D22",24
"138","D22",3
"139","D22",46
"14","D23",75
"140","D22",32
"141","D22",7
"142","D22",58
"143","D22",43
"144","D22",27
"145","D22",11
"146","D22",25
"147","D22",6
"148","D22",16
"149","D22",11
"149","D23",28
"15","D23",59
"150","D23",19
"151","D23",23
"152","D12",34
"152","D23",22
"153","D12",68
"154","D12",29
"154","D31",33
"155","D31",36
"156","D31",54
"157","D31",35
"158","D31",23
"159","D31",27
"16","D23",54
"160","D31",27
"161","D31",18
"162","D31",22
"163","D31",50
"164","D22",15
"165","D22",13
"166","D22",6
"167","D22",65
"168","D22",39
"169","D22",10
"17","D23",43
"170","D22",10
"171","D22",18
"172","D22",13
"173","D22",30
"174","D22",10
"175","D22",13
"176","D22",7
"177","D22",20
"177","D23",35
"178","D23",18
"179","D12",36
"179","D23",28
"18","D22",5
"180","D12",62
"181","D12",45
"182","D12",4
"182","D31",3
"183","D31",114
"184","D31",66
"185","D31",7
"186","D31",77
"187","D31",56
"188","D31",82
"189","D31",77
"19","D22",2
"190","D31",56
"191","D31",30
"192","D22",19
"193","D22",31
"194","D22",2
"195","D22",35
"196","D22",24
"197","D22",6
"198","D22",7
"199","D22",23
"2","D23",78
"20","D23",13
"200","D22",27
"201","D11",2
"201","D22",23
"202","D11",9
"202","D22",11
"203","D12",12
"204","D12",26
"205","D12",4
"205","D22",9
"206","D12",50
"207","D12",70
"208","D12",79
"209","D12",38
"21","D23",7
"210","D12",40
"211","D31",87
"212","D31",27
"213","D31",14
"214","D31",32
"215","D31",31
"216","D31",15
"217","D31",92
"218","D31",21
"219","D31",11
"22","D23",22
"220","D22",4
"221","D22",22
"222","D22",32
"223","D14",1
"223","D22",29
"224","D22",30
"225","D22",24
"226","D22",9
"227","D11",12
"227","D22",3
"228","D11",31
"229","D11",34
"23","D23",109
"230","D11",6
"230","D12",66
"231","D12",28
"232","D12",26
"233","D12",42
"234","D12",35
"235","D12",23
"236","D12",18
"237","D12",16
"238","D12",2
"238","D31",16
"239","D31",32
"24","D23",14
"240","D31",30
"241","D31",60
"242","D31",26
"243","D31",66
"244","D31",68
"245","D31",20
"246","D31",27
"247","D31",15
"248","D22",39
