"IDNgrid","Hood_ID","n"
"1",1,27
"10",1,5
"100",3,6
"100",4,1
"100",5,21
"101",3,26
"102",3,12
"102",22,2
"103",21,44
"103",22,50
"104",21,37
"105",21,51
"106",21,25
"107",19,24
"107",20,2
"108",20,9
"109",20,10
"11",1,140
"110",20,18
"111",14,21
"111",20,1
"112",14,42
"113",14,38
"114",14,36
"115",14,30
"116",14,14
"117",10,6
"117",14,6
"118",10,19
"119",10,16
"12",1,48
"120",10,13
"121",7,41
"122",6,19
"122",7,15
"123",6,67
"124",6,17
"125",5,4
"126",5,3
"126",23,21
"127",5,20
"127",23,9
"128",23,3
"129",22,44
"129",23,2
"13",1,39
"130",22,46
"131",21,15
"131",22,66
"132",21,20
"132",22,13
"133",21,12
"134",21,35
"135",19,21
"136",18,1
"136",19,17
"136",20,4
"137",18,1
"137",19,1
"137",20,22
"138",17,1
"138",20,2
"139",14,35
"139",17,5
"139",20,6
"14",1,75
"140",14,32
"141",14,7
"142",14,58
"143",14,43
"144",9,1
"144",10,1
"144",14,23
"144",15,2
"145",9,4
"145",10,7
"146",9,15
"146",10,10
"147",9,3
"147",10,3
"148",9,16
"149",7,19
"149",8,9
"149",9,11
"15",1,59
"150",7,11
"150",8,8
"151",6,4
"151",7,2
"151",8,17
"152",6,4
"152",8,18
"152",113,34
"153",23,42
"153",113,26
"154",23,48
"154",26,14
"155",23,23
"155",26,13
"156",23,46
"156",26,8
"157",22,19
"157",23,12
"157",25,3
"157",26,1
"158",22,14
"158",25,9
"159",22,17
"159",25,10
"16",1,54
"160",24,15
"160",25,12
"161",24,18
"162",21,4
"162",24,18
"163",21,4
"163",24,46
"164",18,11
"164",19,4
"165",17,3
"165",18,10
"166",17,6
"167",14,48
"167",17,17
"168",14,29
"168",16,10
"169",14,3
"169",16,7
"17",1,41
"17",2,2
"170",14,3
"170",16,7
"171",14,7
"171",16,11
"172",15,11
"172",16,2
"173",9,8
"173",15,22
"174",9,10
"175",9,13
"176",9,7
"177",8,19
"177",9,36
"178",8,18
"179",8,28
"179",113,36
"18",11,5
"180",113,62
"181",23,28
"181",113,17
"182",23,4
"182",26,3
"183",26,114
"184",26,66
"185",25,7
"186",25,71
"186",26,6
"187",25,56
"188",24,2
"188",25,80
"189",24,77
"19",11,2
"190",24,56
"191",24,29
"191",27,1
"192",18,19
"193",17,1
"193",18,30
"194",17,1
"194",18,1
"195",17,35
"196",16,21
"196",17,3
"197",16,6
"198",16,7
"199",16,23
"2",1,78
"20",1,13
"200",15,20
"200",16,7
"201",15,23
"201",114,2
"202",9,1
"202",15,10
"202",114,9
"203",111,12
"204",111,26
"205",9,9
"205",111,3
"205",115,1
"206",115,50
"207",30,42
"207",113,25
"207",115,3
"208",28,11
"208",30,26
"208",113,42
"209",23,2
"209",28,16
"209",113,20
"21",1,7
"210",23,4
"210",28,36
"211",26,87
"212",26,27
"213",25,9
"213",26,5
"214",25,32
"215",25,23
"215",27,8
"216",25,4
"216",27,11
"217",24,12
"217",25,3
"217",27,77
"218",27,21
"219",27,11
"22",1,22
"220",17,4
"221",17,22
"222",17,32
"223",16,3
"223",17,27
"224",16,30
"225",16,24
"226",16,9
"227",15,2
"227",16,1
"227",87,2
"227",89,1
"227",114,9
"228",89,10
"228",114,21
"229",89,30
"229",114,4
"23",1,109
"230",111,72
"231",111,28
"232",111,15
"232",115,11
"233",112,2
