Hood_ID,pop_2016,pop_change_percent_2011_2016,num_private_dwellings,pop_density_per_square_km,num_under14,num_15_to_24,num_25_to_54,num_55_to_64,num_65_84,num_85plus
129,29113,-3.9,9371,3929,3840,3705,11305,4230,6045,925
128,23757,8,8535,3034,3075,3360,9965,3265,4105,555
20,12054,1.3,4732,2435,1760,1235,5220,1825,2015,320
95,30526,4.6,18109,10863,2360,3750,15040,3480,5910,1040
42,27695,2.9,12473,2775,3605,2730,10810,3555,6975,1640
34,15873,2.8,6418,3377,2325,1940,6655,2030,2940,710
76,25797,33.3,18436,14097,1695,6860,13065,1760,2420,330
52,21396,21.1,10111,4195,2415,2505,10310,2540,3615,610
49,13154,-2.8,4895,3240,1515,1635,4490,1825,3685,740
39,23236,0.2,9052,4209,4555,3210,8410,3075,3980,660
112,6577,1.4,2796,3614,1120,855,2750,885,965,145
127,29960,7.5,11293,4011,4550,4605,12050,3535,5250,900
122,22291,2,9637,3765,3345,2440,9075,3520,3910,630
24,21737,-1.5,7671,6282,4600,3290,8525,2425,2870,370
69,7727,-0.5,3269,8134,1405,885,3605,940,895,115
108,14257,-0.3,6080,7791,1855,1655,6740,1925,2100,310
41,9266,6.3,3478,1040,1435,1425,3090,1525,1785,245
57,11499,-0.6,5812,6764,1470,1040,5680,1435,1865,255
30,17757,-0.2,6667,5045,3360,2460,7625,2185,2130,285
71,11669,-3.2,6761,8335,800,1035,5855,1715,2250,305
109,9955,1.1,3935,6464,1490,1220,4570,1350,1325,165
96,10968,4.6,5833,5683,1200,1080,4555,1465,2675,395
133,13362,2.1,4439,2479,2150,1850,5030,1955,2385,160
75,31340,10.6,21983,23044,1260,5060,18780,3235,3010,250
120,26984,8.9,9529,3632,4565,3495,11940,3360,3630,660
33,16472,12.7,6881,3979,2765,1910,7470,1935,2375,400
123,15935,1.5,6094,2273,2575,2145,6070,2445,2695,370
92,14133,2.8,5903,7478,1910,1545,6930,1740,2015,300
66,9666,2.4,4108,8554,1675,920,4370,1195,1515,195
59,17180,2.8,7275,7881,3020,1450,7930,2135,2655,365
47,27051,1.2,10196,6441,4065,3280,11860,3145,4700,665
126,25003,2.6,8995,4146,4250,3155,10485,3330,3780,790
93,36625,5.8,16248,9819,4480,3925,19790,3935,4515,595
